iter	Passed	Remaining
0	517	51249
1	918	45013
2	1378	44571
3	1771	42507
4	2153	40909
5	2518	39456
6	2912	38697
7	3312	38091
8	3724	37655
9	4123	37110
10	4519	36565
11	4901	35945
12	5299	35464
13	5716	35114
14	6099	34562
15	6469	33966
16	6883	33609
17	7266	33102
18	7703	32840
19	8060	32240
20	8485	31920
21	8897	31544
22	9260	31003
23	10023	31739
24	10599	31797
25	11017	31358
26	11559	31253
27	12060	31013
28	12582	30805
29	12996	30326
30	13459	29958
31	13905	29548
32	14290	29013
33	14667	28472
34	15044	27938
35	15518	27588
36	15952	27162
37	16341	26662
38	16740	26184
39	17107	25661
40	17479	25152
41	17866	24672
42	18231	24166
43	18592	23663
44	19032	23261
45	19402	22776
46	19891	22431
47	20407	22108
48	20789	21638
49	21175	21175
50	21646	20797
51	22038	20343
52	22395	19860
53	22751	19380
54	23150	18941
55	23537	18493
56	23935	18056
57	24297	17594
58	24678	17149
59	25059	16706
60	25447	16269
61	25832	15832
62	26198	15386
63	26573	14947
64	26941	14506
65	27296	14061
66	27648	13617
67	28182	13262
68	28634	12864
69	28993	12425
70	29431	12021
71	29828	11600
72	30228	11180
73	30593	10749
74	30974	10324
75	31374	9907
76	31753	9484
77	32131	9062
78	32501	8639
79	32866	8216
80	33292	7809
81	33714	7400
82	34086	6981
83	34490	6569
84	34858	6151
85	35266	5740
86	35650	5327
87	36037	4914
88	36396	4498
89	36764	4084
90	37118	3671
91	37499	3260
92	37881	2851
93	38245	2441
94	38688	2036
95	39109	1629
96	39498	1221
97	39875	813
98	40225	406
99	40631	0
